High,Volume,Low,Date,Close,Market Cap,Open,Name
8958.47,"5,696,720,000",8455.41,02/13/18,8598.31,"150,516,000,000",8926.72,BTC
8985.92,"6,256,440,000",8141.43,02/12/18,8926.57,"137,258,000,000",8141.43,BTC
8616.13,"6,122,190,000",7931.1,02/11/18,8129.97,"145,245,000,000",8616.13,BTC
9122.55,"7,780,960,000",8295.47,02/10/18,8621.9,"146,981,000,000",8720.08,BTC
8736.98,"6,784,820,000",7884.71,02/09/18,8736.98,"139,412,000,000",8271.84,BTC
8558.77,"9,346,750,000",7637.86,02/08/18,8265.59,"128,714,000,000",7637.86,BTC
8509.11,"9,169,280,000",7236.79,02/07/18,7621.3,"130,683,000,000",7755.49,BTC
7850.7,"13,999,800,000",6048.26,02/06/18,7754,"118,810,000,000",7051.75,BTC
8364.84,"9,285,290,000",6756.68,02/05/18,6955.27,"139,325,000,000",8270.54,BTC
9334.87,"7,073,550,000",8031.22,02/04/18,8277.01,"154,553,000,000",9175.7,BTC
9430.75,"7,263,790,000",8251.63,02/03/18,9174.91,"149,085,000,000",8852.12,BTC
9142.28,"12,726,900,000",7796.49,02/02/18,8830.75,"153,953,000,000",9142.28,BTC
10288.8,"9,959,400,000",8812.28,02/01/18,9170.54,"172,372,000,000",10237.3,BTC
10381.6,"8,041,160,000",9777.42,01/31/18,10221.1,"170,183,000,000",10108.2,BTC
11307.2,"8,637,860,000",10036.2,01/30/18,10106.3,"190,339,000,000",11306.8,BTC
11875.6,"7,107,360,000",11179.2,01/29/18,11296.4,"197,871,000,000",11755.5,BTC
12040.3,"8,350,360,000",11475.3,01/28/18,11786.3,"193,133,000,000",11475.3,BTC
11614.9,"7,583,270,000",10989.2,01/27/18,11440.7,"188,054,000,000",11174.9,BTC
11656.7,"9,746,200,000",10470.3,01/26/18,11171.4,"189,398,000,000",11256,BTC
11785.7,"8,873,170,000",11057.4,01/25/18,11259.4,"192,163,000,000",11421.7,BTC
11501.4,"9,940,990,000",10639.8,01/24/18,11359.4,"183,419,000,000",10903.4,BTC
11377.6,"9,660,610,000",10129.7,01/23/18,10868.4,"184,087,000,000",10944.5,BTC
11966.4,"10,537,400,000",10240.2,01/22/18,10931.4,"195,645,000,000",11633.1,BTC
12895.9,"9,935,180,000",11288.2,01/21/18,11600.1,"216,740,000,000",12889.2,BTC
13103,"11,801,700,000",11656.2,01/20/18,12899.2,"195,979,000,000",11656.2,BTC
11992.8,"10,740,400,000",11172.1,01/19/18,11607.4,"192,150,000,000",11429.8,BTC
12107.3,"15,020,400,000",10942.5,01/18/18,11474.9,"188,242,000,000",11198.8,BTC
11678,"18,830,600,000",9402.29,01/17/18,11188.6,"192,123,000,000",11431.1,BTC
13843.1,"18,853,800,000",10194.9,01/16/18,11490.5,"232,517,000,000",13836.1,BTC
14445.5,"12,750,800,000",13641.7,01/15/18,13819.8,"231,334,000,000",13767.3,BTC
14511.8,"11,084,100,000",13268,01/14/18,13772,"241,447,000,000",14370.8,BTC
14659.5,"12,763,600,000",13952.4,01/13/18,14360.2,"234,391,000,000",13952.4,BTC
14229.9,"12,065,700,000",13158.1,01/12/18,13980.6,"225,986,000,000",13453.9,BTC
15018.8,"16,534,100,000",13105.9,01/11/18,13405.8,"251,387,000,000",14968.2,BTC
14973.3,"18,500,800,000",13691.2,01/10/18,14973.3,"244,981,000,000",14588.5,BTC
15497.5,"16,660,000,000",14424,01/09/18,14595.4,"253,935,000,000",15123.7,BTC
16537.9,"18,413,900,000",14208.2,01/08/18,15170.1,"276,612,000,000",16476.2,BTC
17579.6,"15,866,000,000",16087.7,01/07/18,16477.6,"294,222,000,000",17527.3,BTC
17712.4,"18,314,600,000",16764.6,01/06/18,17527,"293,091,000,000",17462.1,BTC
17705.2,"23,840,900,000",15202.8,01/05/18,17429.5,"259,748,000,000",15477.2,BTC
15739.7,"21,783,200,000",14522.2,01/04/18,15599.2,"256,250,000,000",15270.7,BTC
15572.8,"16,871,900,000",14844.5,01/03/18,15201,"251,312,000,000",14978.2,BTC
15444.6,"16,846,600,000",13163.6,01/02/18,14982.1,"228,579,000,000",13625,BTC
14112.2,"10,291,200,000",13154.7,01/01/18,13657.2,"236,725,000,000",14112.2,BTC
14377.4,"12,136,300,000",12755.6,12/31/17,14156.4,"216,326,000,000",12897.7,BTC
14681.9,"14,452,600,000",12350.1,12/30/17,12952.2,"246,224,000,000",14681.9,BTC
15279,"13,025,500,000",14307,12/29/17,14656.2,"246,428,000,000",14695.8,BTC
15888.4,"12,336,500,000",13937.3,12/28/17,14606.5,"265,988,000,000",15864.1,BTC
16930.9,"12,487,600,000",15114.3,12/27/17,15838.5,"270,976,000,000",16163.5,BTC
16461.2,"13,454,300,000",14028.9,12/26/17,16099.8,"235,294,000,000",14036.6,BTC
14593,"10,664,700,000",13448.9,12/25/17,14026.6,"234,590,000,000",13995.9,BTC
14626,"11,572,300,000",12747.7,12/24/17,13925.8,"244,824,000,000",14608.2,BTC
15603.2,"13,086,000,000",13828.8,12/23/17,14699.2,"233,748,000,000",13948.7,BTC
15943.4,"22,198,000,000",11833,12/22/17,13831.8,"266,381,000,000",15898,BTC
17567.7,"16,516,600,000",15342.7,12/21/17,15802.9,"278,827,000,000",16642.4,BTC
17934.7,"22,149,700,000",16077.7,12/20/17,16624.6,"297,526,000,000",17760.3,BTC
19177.8,"16,894,500,000",17275.4,12/19/17,17776.7,"320,242,000,000",19118.3,BTC
19371,"14,839,500,000",18355.9,12/18/17,19114.2,"320,000,000,000",19106.4,BTC
20089,"13,314,600,000",18974.1,12/17/17,19140.8,"326,141,000,000",19475.8,BTC
19716.7,"12,740,600,000",17515.3,12/16/17,19497.4,"297,376,000,000",17760.3,BTC
18154.1,"14,310,000,000",16601.3,12/15/17,17706.9,"277,936,000,000",16601.3,BTC
17085.8,"13,777,400,000",16185.9,12/14/17,16564,"274,269,000,000",16384.6,BTC
17653.1,"12,976,900,000",16039.7,12/13/17,16408.2,"292,900,000,000",17500,BTC
17781.8,"14,603,800,000",16571.6,12/12/17,17415.4,"283,155,000,000",16919.8,BTC
17513.9,"12,153,900,000",15404.8,12/11/17,16936.8,"258,147,000,000",15427.4,BTC
15850.6,"13,433,300,000",13226.6,12/10/17,15455.4,"253,782,000,000",15168.4,BTC
16783,"13,911,300,000",13674.9,12/09/17,15178.2,"276,415,000,000",16523.3,BTC
18353.4,"21,136,000,000",14336.9,12/08/17,16569.4,"297,787,000,000",17802.9,BTC
17899.7,"17,950,700,000",14057.3,12/07/17,17899.7,"238,600,000,000",14266.1,BTC
14369.1,"12,656,300,000",11923.4,12/06/17,14291.5,"199,390,000,000",11923.4,BTC
12032,"6,895,260,000",11604.6,12/05/17,11916.7,"195,389,000,000",11685.7,BTC
11657.2,"6,132,410,000",11081.8,12/04/17,11657.2,"189,172,000,000",11315.4,BTC
11858.7,"6,608,310,000",10862,12/03/17,11323.2,"185,258,000,000",11082.7,BTC
11320.2,"5,138,500,000",10905.1,12/02/17,11074.6,"183,490,000,000",10978.3,BTC
11046.7,"6,783,120,000",9694.65,12/01/17,10975.6,"170,436,000,000",10198.6,BTC
10801,"8,310,690,000",9202.05,11/30/17,10233.6,"165,537,000,000",9906.79,BTC
11517.4,"11,568,800,000",9601.03,11/29/17,9888.61,"168,367,000,000",10077.4,BTC
10125.7,"6,348,820,000",9736.3,11/28/17,10058.8,"164,104,000,000",9823.43,BTC
9818.35,"5,653,320,000",9352.72,11/27/17,9818.35,"156,221,000,000",9352.72,BTC
9522.93,"5,475,580,000",8775.59,11/26/17,9330.55,"146,789,000,000",8789.04,BTC
8790.92,"4,342,060,000",8191.15,11/25/17,8790.92,"137,632,000,000",8241.71,BTC
8374.16,"5,058,610,000",7940.93,11/24/17,8253.69,"134,816,000,000",8074.02,BTC
8267.4,"4,225,180,000",8038.77,11/23/17,8038.77,"137,444,000,000",8232.38,BTC
8302.26,"3,633,530,000",8075.47,11/22/17,8253.55,"134,851,000,000",8077.95,BTC
8348.66,"4,277,610,000",7762.71,11/21/17,8071.26,"136,967,000,000",8205.74,BTC
8336.86,"3,488,450,000",7949.36,11/20/17,8200.64,"134,167,000,000",8039.07,BTC
8101.91,"3,149,320,000",7694.1,11/19/17,8036.49,"129,595,000,000",7766.03,BTC
7884.99,"3,667,190,000",7463.44,11/18/17,7790.15,"128,425,000,000",7697.21,BTC
