,Date,News,Label
0,21-Feb-18,"Venezuela's Cryptocurrency Is Here, But Who's Involved Isn't Clear",0
1,21-Feb-18,US Government Arrests Bitcoin Stock Exchange Founder,0
2,21-Feb-18,Lawmakers Renew Calls for US to Lead on Crypto Innovation,0
3,21-Feb-18,Crypto Nodes Are One Step Closer to Legal Protection in Arizona,1
4,21-Feb-18,Ripple Adds 5 New Clients Across 4 Countries,0
5,21-Feb-18,R3 Pilots Blockchain Trade Finance Platform with Global Banks,0
6,21-Feb-18,Building a Base? Crypto Market Hovers Around $500 Billion,0
7,21-Feb-18,Customer Tries to Withdraw $20 Trillion in Crypto Exchange Glitch,0
8,21-Feb-18,Bitcoin Looks to Test $12K After Overnight Sell-Off,1
9,21-Feb-18,Gibraltar Will Take Market-Driven Approach to ICO Rules,0
10,21-Feb-18,Venezuela Claims $735 Million Raised in First Cryptocurrency Sale,1
11,21-Feb-18,Tesla's Cloud Hit By Crypto Mining Malware Attack,0
12,20-Feb-18,Dutch Bank ING Says Crypto Exchange Bitfinex Is An Account Holder,0
13,17-Oct-17,JPMorgan Integrates Zcash Privacy Tech Into Quorum Blockchain,0
14,17-Oct-17,Top Secret? Microsoft Opens Door to Government Blockchain Use,0
15,17-Oct-17,Downplaying 'Digital Assets': Blockchain Reigns at Ripple's Swell Event,1
16,17-Oct-17,Pump or Progress? Bitcoin Cash Nears $400 on Korea Trading Surge,0
17,17-Oct-17,Standard Chartered Joins EquiChain's Capital Markets Blockchain Pilot,0
18,17-Oct-17,Former Bitmain Chip Designer Seeks to Revoke Mining Giant's Patent,0
19,17-Oct-17,The New Classic? Protesters Are Already Plotting Alternative Ethereums,0
20,20-Oct-17,BlackRock Strategist: There's No 'Right or Wrong' Price for Bitcoin,0
21,20-Oct-17,TSMC: Cryptocurrency Mining Drove Strong Third Quarter Revenue,1
22,25-Oct-17,China Renaissance CEO: Blockchain More Important Than Bitcoin,1
23,25-Oct-17,AMD CEO Sees 'Leveling Off' in Cryptocurrency Mining Demand,1
24,25-Oct-17,"Bitcoin Is a Commodity Not a Currency, Says South Korean Central Bank Chief",1
25,16-Oct-17,Sibos Highlights Swift's Complicated Relationship With Blockchain,1
26,16-Oct-17,An Australian University Is Giving Out Ether to Students,0
27,16-Oct-17,Bank of America Report: Bitcoin's True Value 'Impossible to Assess',1
28,16-Oct-17,Bernanke at Ripple Event: Blockchain Has 'Obvious' Benefits in Payments,1
29,16-Oct-17,Ethereum's Gavin Wood Is Calling for More 'Conservative' Hard Forks,1
30,26-Oct-17,French Regulator Launches 'UNICORN' ICO Support Project,1
31,26-Oct-17,European Energy Firms Trial Blockchain Trading Marketplace,0
32,26-Oct-17,"Tokenized Tor? A16z, DFJ and More Back Private Internet Project Orchid",1
33,20-Oct-17,Bitcoin Breather? Higher Price Push Still Possible on Search Demand,1
34,20-Oct-17,Mastercard Expands Access to B2B Blockchain Payment Tools,0
35,20-Oct-17,Islamic Development Bank to Research Sharia-Compliant Blockchain Products,1
36,20-Oct-17,"Quiet Surge: Bitcoin Price Sets New High Above $6,000",1
37,19-Oct-17,"Blockchain of the Vanities? Sibos, Swell and Stellar Troll in Toronto",0
38,19-Oct-17,Bank of America Seeks Patent for Blockchain Processing System,0
39,23-Oct-17,Foxconn Backs $16 Million Series B for Bitcoin Startup Abra,1
40,18-Oct-17,Nasdaq Awarded Patent for Blockchain Data Matching System,0
41,18-Oct-17,Bank Consortium to Launch Joint Venture for Blockchain Trade Platform,1
42,25-Oct-17,The 'Wolf of Wall Street' Thinks ICOs Are a Scam,1
43,25-Oct-17,DEA Report: Bitcoin Used for Trade-Based Money Laundering,1
44,25-Oct-17,Tezos Founders on ICO Controversy: 'This Will Blow Over',0
45,24-Oct-17,Overstock's TØ is Launching an Initial Coin Offering Next Month,0
46,24-Oct-17,UAE Central Bank Governor: Bitcoin 'Easily Used' for Money Laundering,1
47,24-Oct-17,Malta Proposes Rules for Cryptocurrency Investment Funds,1
48,27-Oct-17,D3 Unveiled: Russian Platform Would Turn Legacy CSDs into Crypto Custodians,1
