High,Volume,Low,Date,Close,Market Cap,Open,Name
1.08,"921,100,000",1.01,02/13/18,1.03,"42,119,800,000",1.08,Ripple
1.11,"1,756,290,000",1.01,02/12/18,1.08,"39,262,700,000",1.01,Ripple
1.08,"2,555,310,000",0.929767,02/11/18,1,"41,635,500,000",1.07,Ripple
1.3,"4,682,010,000",0.947251,02/10/18,1.07,"36,951,500,000",0.947251,Ripple
0.954428,"1,690,340,000",0.77154,02/09/18,0.954428,"31,095,800,000",0.79714,Ripple
0.80697,"947,315,000",0.722611,02/08/18,0.805263,"28,447,500,000",0.729252,Ripple
0.805478,"1,133,370,000",0.70695,02/07/18,0.723895,"30,215,600,000",0.774576,Ripple
0.786004,"2,361,140,000",0.58836,02/06/18,0.776393,"27,506,200,000",0.705121,Ripple
0.833866,"1,286,180,000",0.675827,02/05/18,0.691799,"32,219,400,000",0.825943,Ripple
0.952947,"1,190,960,000",0.796821,02/04/18,0.815703,"35,631,700,000",0.913418,Ripple
0.974799,"1,988,960,000",0.761635,02/03/18,0.924043,"34,795,900,000",0.891992,Ripple
0.960642,"3,529,760,000",0.635185,02/02/18,0.884784,"37,473,900,000",0.960642,Ripple
1.16,"1,410,420,000",0.930378,02/01/18,0.96253,"44,971,500,000",1.16,Ripple
1.19,"1,264,030,000",1.04,01/31/18,1.16,"43,800,800,000",1.13,Ripple
1.33,"1,134,640,000",1.13,01/30/18,1.14,"51,452,400,000",1.33,Ripple
1.41,"1,073,680,000",1.3,01/29/18,1.32,"54,204,300,000",1.4,Ripple
1.44,"1,327,360,000",1.22,01/28/18,1.4,"47,412,500,000",1.22,Ripple
1.24,"689,101,000",1.19,01/27/18,1.22,"47,180,200,000",1.22,Ripple
1.33,"2,037,570,000",1.14,01/26/18,1.22,"50,706,400,000",1.31,Ripple
1.38,"986,068,000",1.29,01/25/18,1.31,"52,811,100,000",1.36,Ripple
1.42,"1,853,440,000",1.31,01/24/18,1.36,"52,380,100,000",1.35,Ripple
1.43,"2,977,080,000",1.2,01/23/18,1.34,"52,421,300,000",1.35,Ripple
1.43,"2,642,510,000",1.16,01/22/18,1.36,"53,909,800,000",1.39,Ripple
1.58,"2,840,750,000",1.34,01/21/18,1.38,"61,061,900,000",1.58,Ripple
1.63,"2,346,450,000",1.5,01/20/18,1.58,"60,543,000,000",1.56,Ripple
1.7,"3,697,430,000",1.5,01/19/18,1.55,"61,291,900,000",1.58,Ripple
1.73,"9,110,440,000",1.26,01/18/18,1.6,"50,577,100,000",1.31,Ripple
1.38,"7,251,210,000",0.897797,01/17/18,1.31,"45,854,700,000",1.18,Ripple
1.7,"5,687,960,000",0.909313,01/16/18,1.18,"65,018,400,000",1.68,Ripple
1.9,"1,838,460,000",1.67,01/15/18,1.68,"71,909,400,000",1.86,Ripple
2.02,"1,978,200,000",1.81,01/14/18,1.86,"78,195,800,000",2.02,Ripple
2.12,"2,130,170,000",1.98,01/13/18,2.02,"79,469,700,000",2.05,Ripple
2.16,"3,330,810,000",1.87,01/12/18,2.04,"75,172,500,000",1.94,Ripple
2.25,"6,296,120,000",1.62,01/11/18,1.95,"76,711,800,000",1.98,Ripple
2.16,"4,833,640,000",1.7,01/10/18,1.97,"82,511,000,000",2.13,Ripple
2.53,"3,694,700,000",1.98,01/09/18,2.1,"94,657,500,000",2.44,Ripple
3.36,"3,315,260,000",2.07,01/08/18,2.46,"130,302,000,000",3.36,Ripple
3.49,"2,395,150,000",3.08,01/07/18,3.38,"119,819,000,000",3.09,Ripple
3.24,"2,777,560,000",2.99,01/06/18,3.09,"117,033,000,000",3.02,Ripple
3.56,"6,288,500,000",2.83,01/05/18,3.05,"127,870,000,000",3.3,Ripple
3.84,"8,103,660,000",3.12,01/04/18,3.2,"120,763,000,000",3.12,Ripple
3.28,"6,635,880,000",2.44,01/03/18,3.11,"95,457,200,000",2.46,Ripple
2.49,"3,171,010,000",2.25,01/02/18,2.48,"91,791,800,000",2.37,Ripple
2.39,"1,894,230,000",2.15,01/01/18,2.39,"88,945,900,000",2.3,Ripple
2.39,"4,642,080,000",1.87,12/31/17,2.3,"81,162,600,000",2.1,Ripple
2.85,"8,108,390,000",2.04,12/30/17,2.16,"85,187,400,000",2.2,Ripple
2.27,"7,545,740,000",1.44,12/29/17,2.21,"55,767,500,000",1.44,Ripple
1.5,"2,843,300,000",1.26,12/28/17,1.43,"53,998,200,000",1.39,Ripple
1.47,"2,854,260,000",1.18,12/27/17,1.4,"45,875,700,000",1.18,Ripple
1.19,"938,847,000",1.09,12/26/17,1.19,"43,455,400,000",1.12,Ripple
1.13,"686,014,000",1,12/25/17,1.12,"40,506,000,000",1.05,Ripple
1.18,"754,959,000",0.911226,12/24/17,1.04,"45,541,100,000",1.18,Ripple
1.21,"1,497,590,000",1.08,12/23/17,1.17,"45,167,600,000",1.17,Ripple
1.38,"4,644,700,000",0.741013,12/22/17,1.14,"45,189,500,000",1.17,Ripple
1.24,"3,626,110,000",0.782515,12/21/17,1.19,"30,314,000,000",0.782515,Ripple
0.789044,"1,007,420,000",0.730953,12/20/17,0.775964,"30,494,300,000",0.787171,Ripple
0.863536,"1,449,670,000",0.756724,12/19/17,0.791257,"30,117,600,000",0.777447,Ripple
